"exporter","partner","flow","year","balanced_value","country_exporter","exporter_gdp","exporter_tariff","country_partner","partner_gdp","partner_tariff","geo_dist","common_language","common_colonizer"
"AE","AG","export",2019,4.314797,"United Arab Emirates",403336245504.457,4.24,"Antigua and Barbuda",1692541753.29144,12.39,116.481073035732,1,1
"AE","AL","export",2019,18.80932,"United Arab Emirates",403336245504.457,4.24,"Albania",13025007474.8895,1.47,38.4921319175179,1,1
"AE","AM","export",2019,46.201273,"United Arab Emirates",403336245504.457,4.24,"Armenia",12867495497.6469,6.3,18.5836956885465,1,1
"AE","AO","export",2019,187.534752,"United Arab Emirates",403336245504.457,4.24,"Angola",86262880684.9456,8.65,52.9488896832493,1,1
"AE","AR","export",2019,151.052359,"United Arab Emirates",403336245504.457,4.24,"Argentina",571450737224.442,12.18,127.463431082976,1,1
"AE","AT","export",2019,443.67607,"United Arab Emirates",403336245504.457,4.24,"Austria",413365268699.049,2.55,44.8538181206461,1,1
"AE","AU","export",2019,1191.660977,"United Arab Emirates",403336245504.457,4.24,"Australia",1492847874023.89,2.03,111.996598214222,1,1
"AE","AW","export",2019,6.58517,"United Arab Emirates",403336245504.457,4.24,"Aruba",3229876351.25335,10.92,125.085603215469,1,1
"AE","AZ","export",2019,140.043259,"United Arab Emirates",403336245504.457,4.24,"Azerbaijan",53599371992.657,15.32,16.533625219201,1,1
"AE","BA","export",2019,38.438581,"United Arab Emirates",403336245504.457,4.24,"Bosnia and Herzegovina",18679105433.9912,5.32,40.8798283944013,1,1
"AE","BD","export",2019,550.734713,"United Arab Emirates",403336245504.457,4.24,"Bangladesh",257958323968.613,12.19,35.9581740761249,1,1
"AE","BE","export",2019,579.762919,"United Arab Emirates",403336245504.457,4.24,"Belgium",494099718080.569,2.55,56.5850881809377,0,1
"AE","BF","export",2019,19.118197,"United Arab Emirates",403336245504.457,4.24,"Burkina Faso",15030172259.3791,11.41,57.3808210869378,1,1
"AE","BG","export",2019,83.444971,"United Arab Emirates",403336245504.457,4.24,"Bulgaria",57196630543.6142,2.55,36.0484001293941,1,1
"AE","BH","export",2019,447.977616,"United Arab Emirates",403336245504.457,4.24,"Bahrain",36906448210.9064,3.68,4.16149237387263,1,1
"AE","BI","export",2019,14.658276,"United Arab Emirates",403336245504.457,4.24,"Burundi",3207836406.88248,11.78,37.479389650254,1,1
"AE","BJ","export",2019,14.675069,"United Arab Emirates",403336245504.457,4.24,"Benin",14179807374.6843,11.67,54.6699434849211,1,1
"AE","BM","export",2019,19.773586,"United Arab Emirates",403336245504.457,4.24,"Bermuda",6840850356.57848,39.96,119.473743830089,1,1
"AE","BN","export",2019,43.736762,"United Arab Emirates",403336245504.457,4.24,"Brunei Darussalam",13278735782.1319,0.15,63.6227741249662,1,1
"AE","BO","export",2019,26.259167,"United Arab Emirates",403336245504.457,4.24,"Bolivia",38193230080.2463,9.95,127.344751230657,0,1
"AE","BR","export",2019,1112.893737,"United Arab Emirates",403336245504.457,4.24,"Brazil",1819683217699.38,13.43,109.956999956246,1,1
"AE","BT","export",2019,2.355545,"United Arab Emirates",403336245504.457,4.24,"Bhutan",2651940022.25787,8.13,35.466161512694,1,1
"AE","BW","export",2019,17.518877,"United Arab Emirates",403336245504.457,4.24,"Botswana",16212015760.8999,8.19,56.8729338603953,1,1
"AE","BY","export",2019,68.968566,"United Arab Emirates",403336245504.457,4.24,"Belarus",59040547744.6036,7.93,39.8483024202763,1,1
"AE","BZ","export",2019,8.521903,"United Arab Emirates",403336245504.457,4.24,"Belize",2271360752.35822,10.88,143.400059504482,1,1
"AE","CA","export",2019,806.625073,"United Arab Emirates",403336245504.457,4.24,"Canada",1696605090551.84,2.1,131.802853851416,1,1
"AE","CH","export",2019,1678.904623,"United Arab Emirates",403336245504.457,4.24,"Switzerland",747109782755.794,5.41,52.0858338086708,0,1
"AE","CI","export",2019,48.622322,"United Arab Emirates",403336245504.457,4.24,"Cote d'Ivoire",59010785540.9857,12.13,62.2502800891514,1,1
"AE","CL","export",2019,184.179517,"United Arab Emirates",403336245504.457,4.24,"Chile",261676645417.276,1.04,137.862156789954,1,1
"AE","CM","export",2019,46.986318,"United Arab Emirates",403336245504.457,4.24,"Cameroon",37502066832.7403,18.56,47.5968179807106,1,1
"AE","CN","export",2019,5521.408347,"United Arab Emirates",403336245504.457,4.24,"China",14579283528148.4,5.39,63.9121654816741,1,1
"AE","CO","export",2019,164.013278,"United Arab Emirates",403336245504.457,4.24,"Colombia",321405606655.842,2.85,130.993498289462,1,1
"AE","CR","export",2019,44.533842,"United Arab Emirates",403336245504.457,4.24,"Costa Rica",64382494195.8393,3.22,139.238652964055,1,1
"AE","CU","export",2019,22.534775,"United Arab Emirates",403336245504.457,4.24,"Cuba",91020354637.1474,10.52,136.839989399623,1,1
"AE","CV","export",2019,4.479832,"United Arab Emirates",403336245504.457,4.24,"Cabo Verde",2116002110.92756,14.51,78.4997449925088,1,1
"AE","CY","export",2019,219.614007,"United Arab Emirates",403336245504.457,4.24,"Cyprus",25246562822.6821,2.55,23.6207138922133,1,1
"AE","CZ","export",2019,158.010993,"United Arab Emirates",403336245504.457,4.24,"Czechia",217279912681.73,2.55,47.4945795269787,1,1
"AE","DE","export",2019,3719.669274,"United Arab Emirates",403336245504.457,4.24,"Germany",3673343090742.63,2.55,49.6859318094951,1,1
"AE","DK","export",2019,595.034171,"United Arab Emirates",403336245504.457,4.24,"Denmark",332088518944.146,2.55,52.1868597978035,1,1
"AE","DZ","export",2019,155.00188,"United Arab Emirates",403336245504.457,4.24,"Algeria",202300870247.92,12.49,52.8829673282854,1,1
"AE","EC","export",2019,43.91067,"United Arab Emirates",403336245504.457,4.24,"Ecuador",103544017315.435,9.8,135.192201427852,1,1
"AE","EE","export",2019,58.321939,"United Arab Emirates",403336245504.457,4.24,"Estonia",27307395871.0676,2.55,45.8433616665369,1,1
"AE","EG","export",2019,488.422602,"United Arab Emirates",403336245504.457,4.24,"Egypt, Arab Rep.",398080548973.052,14.43,23.8299847414513,1,1
"AE","ES","export",2019,1092.677166,"United Arab Emirates",403336245504.457,4.24,"Spain",1333521400432.69,2.55,60.2817333091507,1,1
"AE","FI","export",2019,342.037321,"United Arab Emirates",403336245504.457,4.24,"Finland",253433824168.6,2.55,46.232583994168,1,1
"AE","FJ","export",2019,13.106083,"United Arab Emirates",403336245504.457,4.24,"Fiji",5215934671.17566,20.84,131.113566956288,1,1
"AE","FR","export",2019,2029.173383,"United Arab Emirates",403336245504.457,4.24,"France",2608036638906.12,2.55,57.5155066486914,1,1
"AE","GA","export",2019,45.120195,"United Arab Emirates",403336245504.457,4.24,"Gabon",15460241661.1259,18.65,51.0392728847657,1,1
"AE","GB","export",2019,5214.017874,"United Arab Emirates",403336245504.457,4.24,"United Kingdom",3156963552417.56,2.55,60.9109314999735,1,1
"AE","GD","export",2019,13.375602,"United Arab Emirates",403336245504.457,4.24,"Grenada",1134939081.03144,10.55,116.810027394912,1,1
"AE","GH","export",2019,121.436123,"United Arab Emirates",403336245504.457,4.24,"Ghana",62503939826.8611,12.44,57.8470847387991,1,1
"AE","GN","export",2019,15.065585,"United Arab Emirates",403336245504.457,4.24,"Guinea",12075307751.6835,12.67,71.7090510267401,1,1
"AE","GR","export",2019,268.901229,"United Arab Emirates",403336245504.457,4.24,"Greece",206033167050.895,2.55,33.5353302420671,1,1
"AE","GW","export",2019,2.355335,"United Arab Emirates",403336245504.457,4.24,"Guinea-Bissau",1392924525.82696,12.66,71.1905769388681,1,1
"AE","GY","export",2019,18.563003,"United Arab Emirates",403336245504.457,4.24,"Guyana",5071030135.73162,9.48,113.966216712478,1,1
"AE","HK","export",2019,1387.442988,"United Arab Emirates",403336245504.457,4.24,"Hong Kong SAR, China",331813870172.854,0,59.7738296655727,1,1
"AE","HR","export",2019,60.290831,"United Arab Emirates",403336245504.457,4.24,"Croatia",57823926882.8566,2.55,43.9717348860481,1,1
