"fips_code","County","State","Education.Bachelor.s.Degree.or.Higher","Income.Per.Capita.Income"
"45001","Abbeville County","SC",15.6,22646
"22001","Acadia Parish","LA",13.3,23122
"51001","Accomack County","VA",19.5,26018
"16001","Ada County","ID",38.5,34919
"19001","Adair County","IA",18.5,30822
"21001","Adair County","KY",15.7,21196
"29001","Adair County","MO",31,22847
"40001","Adair County","OK",11.6,17026
"08001","Adams County","CO",24.3,30313
"19003","Adams County","IA",15.6,28440
"16003","Adams County","ID",21.2,28026
"17001","Adams County","IL",25,30343
"18001","Adams County","IN",15.5,23316
"28001","Adams County","MS",17.4,18386
"38001","Adams County","ND",25.6,33458
"31001","Adams County","NE",24.3,28729
"39001","Adams County","OH",13.2,22366
"42001","Adams County","PA",22.3,31590
"53001","Adams County","WA",14.3,20248
"55001","Adams County","WI",13.9,27241
"50001","Addison County","VT",39.6,34741
"45003","Aiken County","SC",26.4,28396
"27001","Aitkin County","MN",18.1,29275
"12001","Alachua County","FL",43.3,28646
"37001","Alamance County","NC",24.8,27312
"06001","Alameda County","CA",47.4,47314
"08003","Alamosa County","CO",25,22131
"36001","Albany County","NY",41.8,37635
"56001","Albany County","WY",51.8,29146
"51003","Albemarle County","VA",55.1,44799
"26001","Alcona County","MI",16.9,25636
"28003","Alcorn County","MS",17.1,23909
"17003","Alexander County","IL",12.9,19519
"37003","Alexander County","NC",14.2,26688
"40003","Alfalfa County","OK",21.8,27615
"26003","Alger County","MI",17.4,20851
"19005","Allamakee County","IA",17.8,27892
"26005","Allegan County","MI",22.6,29215
"24001","Allegany County","MD",18.9,23607
"36003","Allegany County","NY",20.9,24857
"37005","Alleghany County","NC",17.3,23267
"51005","Alleghany County","VA",15,27338
"42003","Allegheny County","PA",41.6,38709
"18003","Allen County","IN",28.5,29160
"20001","Allen County","KS",20.3,23734
"21003","Allen County","KY",16.1,22294
"39003","Allen County","OH",18.9,26761
"22003","Allen Parish","LA",11.3,20964
"45005","Allendale County","SC",9.2,16985
"26007","Alpena County","MI",18,25957
"06003","Alpine County","CA",34.5,36739
"06005","Amador County","CA",19.3,31987
"51007","Amelia County","VA",17.1,31688
"51009","Amherst County","VA",19.1,26712
"28005","Amite County","MS",12.6,21568
"20003","Anderson County","KS",18.1,24309
"21005","Anderson County","KY",20.2,27250
"45007","Anderson County","SC",22.2,27552
"47001","Anderson County","TN",23.3,28455
"48001","Anderson County","TX",10.6,17280
"29003","Andrew County","MO",24.9,29338
"48003","Andrews County","TX",12.2,30673
"23001","Androscoggin County","ME",22.8,28956
"48005","Angelina County","TX",16.9,23147
"24003","Anne Arundel County","MD",41.7,46629
"27003","Anoka County","MN",30.5,36978
"37007","Anson County","NC",11.3,21635
"31003","Antelope County","NE",18.4,26523
"26009","Antrim County","MI",28.8,31851
"04001","Apache County","AZ",12.3,15128
"19007","Appanoose County","IA",16.3,26012
"13001","Appling County","GA",9.8,21300
"51011","Appomattox County","VA",20.9,28586
"48007","Aransas County","TX",21.9,30863
"08005","Arapahoe County","CO",42.8,40443
"48009","Archer County","TX",23.9,34617
"08007","Archuleta County","CO",37.2,31629
"26011","Arenac County","MI",12.6,24328
"05001","Arkansas County","AR",15.8,26386
"51013","Arlington County","VA",75.3,71841
"42005","Armstrong County","PA",16.7,27715
"48011","Armstrong County","TX",22.8,31749
"23003","Aroostook County","ME",19.2,25477
"31005","Arthur County","NE",26.2,25906
"22005","Ascension Parish","LA",26.4,34168
"37009","Ashe County","NC",19.7,24814
"39005","Ashland County","OH",20.9,26017
"55003","Ashland County","WI",19.8,23946
"05003","Ashley County","AR",12.3,23391
"39007","Ashtabula County","OH",14.3,24265
"53003","Asotin County","WA",21.4,29695
"22007","Assumption Parish","LA",9.6,25752
"48013","Atascosa County","TX",14.4,23890
"20005","Atchison County","KS",22,24237
"29005","Atchison County","MO",23.1,31248
"39009","Athens County","OH",30.2,22040
"13003","Atkinson County","GA",12.2,20338
"34001","Atlantic County","NJ",28.1,33284
"40005","Atoka County","OK",15,20443
"28007","Attala County","MS",13.9,21276
"29007","Audrain County","MO",14.7,23024
"19009","Audubon County","IA",17.1,30344
"39011","Auglaize County","OH",18.9,31198
"51015","Augusta County","VA",22.7,30272
"46003","Aurora County","SD",21.5,37086
"48015","Austin County","TX",23.9,30219
"01001","Autauga County","AL",26.6,29819
"37011","Avery County","NC",20.7,21167
"22009","Avoyelles Parish","LA",12.3,22017
"08009","Baca County","CO",21.4,24061
"13005","Bacon County","GA",10.5,20326
"48017","Bailey County","TX",17.2,21945
"12003","Baker County","FL",13.2,24686
"13007","Baker County","GA",12.9,22525
"41001","Baker County","OR",23.7,28700
"01003","Baldwin County","AL",31.9,32626
"13009","Baldwin County","GA",23.3,21716
"21007","Ballard County","KY",15.9,25217
"24005","Baltimore County","MD",39.4,40105
"45009","Bamberg County","SC",18.8,18479
"48019","Bandera County","TX",22.8,29561
"13011","Banks County","GA",13.4,21403
"31007","Banner County","NE",23.3,27552
"16005","Bannock County","ID",27.8,25076
"26013","Baraga County","MI",15.8,22920
"20007","Barber County","KS",20.7,27648
"01005","Barbour County","AL",11.6,18473
"54001","Barbour County","WV",15.6,22899
"38003","Barnes County","ND",29.4,35491
"25001","Barnstable County","MA",43.4,44505
"45011","Barnwell County","SC",12.5,20297
"21009","Barren County","KY",16.3,21869
"55005","Barron County","WI",20.6,29681
"13013","Barrow County","GA",19,25266
"26015","Barry County","MI",21.1,31760
"29009","Barry County","MO",14.6,25068
"18005","Bartholomew County","IN",33.5,31774
"20009","Barton County","KS",20.9,27495
"29011","Barton County","MO",19.9,26509
"13015","Bartow County","GA",18.6,26493
"48021","Bastrop County","TX",20.7,27773
"29013","Bates County","MO",16.1,27635
"21011","Bath County","KY",14.5,22238
"51017","Bath County","VA",15.9,27527
"05005","Baxter County","AR",17.9,26863
"12005","Bay County","FL",23.7,29290
"26017","Bay County","MI",19.3,27469
"55007","Bayfield County","WI",31.1,31825
"48023","Baylor County","TX",22.8,22987
"46005","Beadle County","SD",20.5,27655
"16007","Bear Lake County","ID",18.9,26378
"37013","Beaufort County","NC",20.6,27504
"45013","Beaufort County","SC",41.2,38946
"22011","Beauregard Parish","LA",17.8,26331
"40007","Beaver County","OK",19.9,24514
"42007","Beaver County","PA",24.7,31305
"49001","Beaver County","UT",21.1,23382
"30001","Beaverhead County","MT",35.4,28401
"27005","Becker County","MN",25,31729
"40009","Beckham County","OK",16.8,24480
"42009","Bedford County","PA",14.7,26078
"47003","Bedford County","TN",16.6,24864
"48025","Bee County","TX",8.9,18340
"33001","Belknap County","NH",32.6,37430
"21013","Bell County","KY",9.2,15501
"48027","Bell County","TX",25.2,26677
"39013","Belmont County","OH",16.7,27580
"27007","Beltrami County","MN",29.2,25418
"13017","Ben Hill County","GA",11.2,17774
"16009","Benewah County","ID",15.2,23255
"46007","Bennett County","SD",15.7,17793
"50003","Bennington County","VT",36.2,33789
"38005","Benson County","ND",16.2,21707
"08011","Bent County","CO",11.4,13930
"05007","Benton County","AR",33.4,34442
"19011","Benton County","IA",22.1,33301
"18007","Benton County","IN",16.1,25187
"27009","Benton County","MN",23.6,29831
"29015","Benton County","MO",13,24317
"28009","Benton County","MS",11.5,20643
"41003","Benton County","OR",54.1,33817
"47005","Benton County","TN",12.3,22636
"53005","Benton County","WA",30.9,32882
"26019","Benzie County","MI",30.3,29425
"34003","Bergen County","NJ",49.3,51214
"45015","Berkeley County","SC",25,29662
"54003","Berkeley County","WV",21.2,29994
"42011","Berks County","PA",24.9,31571
"35001","Bernalillo County","NM",34.4,30734
"13019","Berrien County","GA",11.4,19547
"26021","Berrien County","MI",27.8,30864
"37015","Bertie County","NC",13.6,22947
"48029","Bexar County","TX",28,27834
"01007","Bibb County","AL",10.4,20778
"13021","Bibb County","GA",25.4,25640
"22013","Bienville Parish","LA",12.8,21491
"30003","Big Horn County","MT",18.1,18934
"56003","Big Horn County","WY",19,24693
"27011","Big Stone County","MN",15.4,29459
"38007","Billings County","ND",26.3,42071
"16011","Bingham County","ID",21.2,23059
"19013","Black Hawk County","IA",29.1,30563
"18009","Blackford County","IN",13.5,24302
"37017","Bladen County","NC",15.8,23440
"16013","Blaine County","ID",35.4,33645
"30005","Blaine County","MT",22.9,19258
"31009","Blaine County","NE",23,25097
"40011","Blaine County","OK",16.5,25851
"42013","Blair County","PA",21.3,28119
"48031","Blanco County","TX",26.5,37998
"51021","Bland County","VA",14.2,22522
"13023","Bleckley County","GA",18.7,20458
"47007","Bledsoe County","TN",12,21700
"01009","Blount County","AL",13.1,24747
"47009","Blount County","TN",24.2,30548
"27013","Blue Earth County","MN",34.8,29677
"16015","Boise County","ID",27.1,31975
"28011","Bolivar County","MS",23.6,18843
"29017","Bollinger County","MO",8.9,21340
"46009","Bon Homme County","SD",18.3,24131
"17005","Bond County","IL",22.9,28119
"16017","Bonner County","ID",23.8,27918
"16019","Bonneville County","ID",31.3,28671
"05009","Boone County","AR",16.1,24727
"19015","Boone County","IA",25.3,32889
"17007","Boone County","IL",23.5,31943
"18011","Boone County","IN",49.3,48295
"21015","Boone County","KY",32.1,35991
"29019","Boone County","MO",46.1,30415
"31011","Boone County","NE",21.1,33027
"54005","Boone County","WV",9.7,21751
"48033","Borden County","TX",39.5,34028
"48035","Bosque County","TX",19.8,26636
"22015","Bossier Parish","LA",25.2,28766
"51023","Botetourt County","VA",28.3,35893
"38009","Bottineau County","ND",24,35655
"08013","Boulder County","CO",62.1,46826
"16021","Boundary County","ID",19.8,25782
"20011","Bourbon County","KS",21.7,23102
"21017","Bourbon County","KY",19.4,27802
"48037","Bowie County","TX",20.6,27095
"38011","Bowman County","ND",24.2,34880
"31013","Box Butte County","NE",17.1,28156
"49003","Box Elder County","UT",23.9,24797
"21019","Boyd County","KY",19.4,26193
"31015","Boyd County","NE",16.7,29871
"21021","Boyle County","KY",25.2,26413
