"","X","FIPS","County","State","Edu","Inc","Pop"
"1",2,22001,"Acadia Parish","LA",13.3,23122,57576
"2",3,51001,"Accomack County","VA",19.5,26018,33413
"3",4,16001,"Ada County","ID",38.5,34919,494967
"4",9,8001,"Adams County","CO",24.3,30313,519572
"5",12,17001,"Adams County","IL",25,30343,65737
"6",13,18001,"Adams County","IN",15.5,23316,35809
"7",14,28001,"Adams County","MS",17.4,18386,29538
"8",16,31001,"Adams County","NE",24.3,28729,31205
"9",17,39001,"Adams County","OH",13.2,22366,27477
"10",18,42001,"Adams County","PA",22.3,31590,103852
"11",21,50001,"Addison County","VT",39.6,34741,37363
"12",22,45003,"Aiken County","SC",26.4,28396,168808
"13",24,12001,"Alachua County","FL",43.3,28646,278468
"14",25,37001,"Alamance County","NC",24.8,27312,171415
"15",26,6001,"Alameda County","CA",47.4,47314,1682353
"16",28,36001,"Albany County","NY",41.8,37635,314848
"17",29,56001,"Albany County","WY",51.8,29146,37066
"18",30,51003,"Albemarle County","VA",55.1,44799,112395
"19",32,28003,"Alcorn County","MS",17.1,23909,34740
"20",34,37003,"Alexander County","NC",14.2,26688,36444
"21",38,26005,"Allegan County","MI",22.6,29215,120502
"22",39,24001,"Allegany County","MD",18.9,23607,68106
"23",40,36003,"Allegany County","NY",20.9,24857,46456
"24",43,42003,"Allegheny County","PA",41.6,38709,1250578
"25",44,18003,"Allen County","IN",28.5,29160,385410
"26",47,39003,"Allen County","OH",18.9,26761,102206
"27",50,26007,"Alpena County","MI",18,25957,28907
"28",52,6005,"Amador County","CA",19.3,31987,40474
"29",54,51009,"Amherst County","VA",19.1,26712,31307
"30",58,45007,"Anderson County","SC",22.2,27552,203718
"31",59,47001,"Anderson County","TN",23.3,28455,77123
"32",60,48001,"Anderson County","TX",10.6,17280,57922
"33",63,23001,"Androscoggin County","ME",22.8,28956,111139
"34",64,48005,"Angelina County","TX",16.9,23147,86395
"35",65,24003,"Anne Arundel County","MD",41.7,46629,588261
"36",66,27003,"Anoka County","MN",30.5,36978,363887
"37",70,4001,"Apache County","AZ",12.3,15128,66021
"38",75,8005,"Arapahoe County","CO",42.8,40443,655070
"39",80,51013,"Arlington County","VA",75.3,71841,238643
"40",81,42005,"Armstrong County","PA",16.7,27715,65558
"41",83,23003,"Aroostook County","ME",19.2,25477,67105
"42",85,22005,"Ascension Parish","LA",26.4,34168,126500
"43",86,37009,"Ashe County","NC",19.7,24814,26577
"44",87,39005,"Ashland County","OH",20.9,26017,52447
"45",90,39007,"Ashtabula County","OH",14.3,24265,97574
"46",93,48013,"Atascosa County","TX",14.4,23890,48981
"47",96,39009,"Athens County","OH",30.2,22040,62431
"48",98,34001,"Atlantic County","NJ",28.1,33284,274534
"49",103,39011,"Auglaize County","OH",18.9,31198,46422
"50",104,51015,"Augusta County","VA",22.7,30272,77487
"51",106,48015,"Austin County","TX",23.9,30219,30167
"52",107,1001,"Autauga County","AL",26.6,29819,58805
"53",109,22009,"Avoyelles Parish","LA",12.3,22017,39693
